Time (t),Velocity X (Vx),Velocity Y (Vy),Displacement X,Displacement Y
0,38.5673,45.9627,0,0
0.25,36.9924,41.6359,9.24811,10.409
0.5,35.5903,37.6077,18.1457,19.8109
0.75,34.3361,33.8325,26.7297,28.269
1,33.2097,30.2726,35.0321,35.8372
1.25,32.1941,26.8968,43.0807,42.5614
1.5,31.275,23.6789,50.8994,48.4811
1.75,30.44,20.5967,58.5094,53.6303
2,29.6786,17.6316,65.9291,58.0381
2.25,28.9814,14.7673,73.1744,61.73
2.5,28.3398,11.9904,80.2594,64.7276
2.75,27.7463,9.28933,87.196,67.0499
3,27.1938,6.65435,93.9944,68.7135
3.25,26.6757,4.07757,100.663,69.7329
3.5,26.1858,1.55268,107.21,70.1211
3.75,25.7183,-0.925035,113.639,69.8898
4,25.2679,-3.35883,119.956,69.0501
4.25,24.8296,-5.75057,126.164,67.6125
4.5,24.3989,-8.10082,132.263,65.5873
4.75,23.972,-10.4091,138.256,62.985
5,23.5456,-12.674,144.143,59.8165
5.25,23.1172,-14.8933,149.922,56.0932
5.5,22.6845,-17.0646,155.593,51.827
5.75,22.2463,-19.1849,161.155,47.0308
6,21.8015,-21.2514,166.605,41.7179
6.25,21.3498,-23.2611,171.943,35.9027
6.5,20.8911,-25.2112,177.165,29.5999
6.75,20.4256,-27.0995,182.272,22.825
7,19.9538,-28.9236,187.26,15.5941
7.25,19.4767,-30.6819,192.13,7.92363
7.5,18.9949,-32.3731,196.878,-0.169637
